case_id,customer_id,card_id,opened_at,closed_at,outcome,pattern,exposure_usd,actions_taken,report_filed,analyst_notes,source_json
CC-0011,C13259,C13259-K1,2016-07-03 07:46:35,2016-07-06 16:46:35,confirmed_fraud,card_not_present_new_device,149.95,CREATE_CASE|BLOCK_CARD,false,"Case CC-0011: cardholder C13259 reported unrecognized activity on card C13259-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $149.95 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a SM-G550T Build/MMB29K on chrome 59.0 for android. Card blocked and reissued. Customer reimbursed.","{""case_id"":""CC-0011"",""customer_id"":""C13259"",""card_id"":""C13259-K1"",""opened_at"":""2016-07-03 07:46:35"",""closed_at"":""2016-07-06 16:46:35"",""outcome"":""confirmed_fraud"",""pattern"":""card_not_present_new_device"",""first_fraud_txn_id"":""3000989"",""txn_ids"":""3000989"",""n_txns"":""1"",""exposure_usd"":""149.95"",""connected_card_ids"":"""",""actions_taken"":""CREATE_CASE|BLOCK_CARD"",""report_filed"":""No"",""analyst_notes"":""Case CC-0011: cardholder C13259 reported unrecognized activity on card C13259-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $149.95 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a SM-G550T Build/MMB29K on chrome 59.0 for android. Card blocked and reissued. Customer reimbursed.""}"
CC-0012,C07220,C07220-K1,2016-07-03 08:40:41,2016-07-07 23:40:41,confirmed_fraud,card_not_present_fraud,123.52,CREATE_CASE|BLOCK_CARD,false,Case CC-0012: cardholder C07220 reported unrecognized activity on card C07220-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $123.52 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.,"{""case_id"":""CC-0012"",""customer_id"":""C07220"",""card_id"":""C07220-K1"",""opened_at"":""2016-07-03 08:40:41"",""closed_at"":""2016-07-07 23:40:41"",""outcome"":""confirmed_fraud"",""pattern"":""card_not_present_fraud"",""first_fraud_txn_id"":""3002019"",""txn_ids"":""3002019"",""n_txns"":""1"",""exposure_usd"":""123.52"",""connected_card_ids"":"""",""actions_taken"":""CREATE_CASE|BLOCK_CARD"",""report_filed"":""No"",""analyst_notes"":""Case CC-0012: cardholder C07220 reported unrecognized activity on card C07220-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $123.52 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Card blocked and reissued. Customer reimbursed.""}"
CC-0013,C11464,C11464-K2,2016-07-03 09:17:43,2016-07-06 06:17:43,confirmed_fraud,account_takeover,261.95,CREATE_CASE|BLOCK_CARD,false,Case CC-0013: cardholder C11464 reported unrecognized activity on card C11464-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $261.95 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.,"{""case_id"":""CC-0013"",""customer_id"":""C11464"",""card_id"":""C11464-K2"",""opened_at"":""2016-07-03 09:17:43"",""closed_at"":""2016-07-06 06:17:43"",""outcome"":""confirmed_fraud"",""pattern"":""account_takeover"",""first_fraud_txn_id"":""3002951"",""txn_ids"":""3002951"",""n_txns"":""1"",""exposure_usd"":""261.95"",""connected_card_ids"":"""",""actions_taken"":""CREATE_CASE|BLOCK_CARD"",""report_filed"":""No"",""analyst_notes"":""Case CC-0013: cardholder C11464 reported unrecognized activity on card C11464-K2. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $261.95 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.""}"
CC-0014,C01002,C01002-K1,2016-07-03 09:35:08,2016-07-08 23:35:08,confirmed_fraud,card_not_present_fraud,75.15,CREATE_CASE|BLOCK_CARD,false,Case CC-0014: cardholder C01002 reported unrecognized activity on card C01002-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $75.15 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on chrome 62.0. Card blocked and reissued. Customer reimbursed.,"{""case_id"":""CC-0014"",""customer_id"":""C01002"",""card_id"":""C01002-K1"",""opened_at"":""2016-07-03 09:35:08"",""closed_at"":""2016-07-08 23:35:08"",""outcome"":""confirmed_fraud"",""pattern"":""card_not_present_fraud"",""first_fraud_txn_id"":""3002010"",""txn_ids"":""3002010"",""n_txns"":""1"",""exposure_usd"":""75.15"",""connected_card_ids"":"""",""actions_taken"":""CREATE_CASE|BLOCK_CARD"",""report_filed"":""No"",""analyst_notes"":""Case CC-0014: cardholder C01002 reported unrecognized activity on card C01002-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $75.15 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on chrome 62.0. Card blocked and reissued. Customer reimbursed.""}"
CC-0015,C04597,C04597-K2,2016-07-03 11:43:21,2016-07-05 03:43:21,cleared,,0.00,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,false,Case CC-0015: model scored a $93.80 transaction at 0.92. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.,"{""case_id"":""CC-0015"",""customer_id"":""C04597"",""card_id"":""C04597-K2"",""opened_at"":""2016-07-03 11:43:21"",""closed_at"":""2016-07-05 03:43:21"",""outcome"":""cleared"",""pattern"":""none"",""first_fraud_txn_id"":"""",""txn_ids"":""3002758"",""n_txns"":""1"",""exposure_usd"":""0.00"",""connected_card_ids"":"""",""actions_taken"":""VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD"",""report_filed"":""No"",""analyst_notes"":""Case CC-0015: model scored a $93.80 transaction at 0.92. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.""}"
CC-0016,C03575,C03575-K2,2016-07-03 18:31:19,2016-07-04 22:31:19,confirmed_fraud,out_of_region_use,68.46,CREATE_CASE|BLOCK_CARD,false,"Case CC-0016: cardholder C03575 reported unrecognized activity on card C03575-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $68.46 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.","{""case_id"":""CC-0016"",""customer_id"":""C03575"",""card_id"":""C03575-K2"",""opened_at"":""2016-07-03 18:31:19"",""closed_at"":""2016-07-04 22:31:19"",""outcome"":""confirmed_fraud"",""pattern"":""out_of_region_use"",""first_fraud_txn_id"":""3001839"",""txn_ids"":""3001839"",""n_txns"":""1"",""exposure_usd"":""68.46"",""connected_card_ids"":"""",""actions_taken"":""CREATE_CASE|BLOCK_CARD"",""report_filed"":""No"",""analyst_notes"":""Case CC-0016: cardholder C03575 reported unrecognized activity on card C03575-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $68.46 were confirmed fraudulent. Card-present use in a billing region the cardholder had no history in, while the cardholder retained the card. Card blocked and reissued. Customer reimbursed.""}"
CC-0017,C03651,C03651-K2,2016-07-03 18:52:00,2016-07-04 12:52:00,cleared,,0.00,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,false,Case CC-0017: model scored a $149.97 transaction at 0.88. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.,"{""case_id"":""CC-0017"",""customer_id"":""C03651"",""card_id"":""C03651-K2"",""opened_at"":""2016-07-03 18:52:00"",""closed_at"":""2016-07-04 12:52:00"",""outcome"":""cleared"",""pattern"":""none"",""first_fraud_txn_id"":"""",""txn_ids"":""3003172"",""n_txns"":""1"",""exposure_usd"":""0.00"",""connected_card_ids"":"""",""actions_taken"":""VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD"",""report_filed"":""No"",""analyst_notes"":""Case CC-0017: model scored a $149.97 transaction at 0.88. Cardholder confirmed the purchase from a new phone. Device added to profile. Alert cleared.""}"
CC-0018,C06800,C06800-K1,2016-07-03 19:37:07,2016-07-04 20:37:07,confirmed_fraud,card_not_present_new_device,150.07,CREATE_CASE|BLOCK_CARD,false,"Case CC-0018: cardholder C06800 reported unrecognized activity on card C06800-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $150.07 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.","{""case_id"":""CC-0018"",""customer_id"":""C06800"",""card_id"":""C06800-K1"",""opened_at"":""2016-07-03 19:37:07"",""closed_at"":""2016-07-04 20:37:07"",""outcome"":""confirmed_fraud"",""pattern"":""card_not_present_new_device"",""first_fraud_txn_id"":""3001565"",""txn_ids"":""3001565"",""n_txns"":""1"",""exposure_usd"":""150.07"",""connected_card_ids"":"""",""actions_taken"":""CREATE_CASE|BLOCK_CARD"",""report_filed"":""No"",""analyst_notes"":""Case CC-0018: cardholder C06800 reported unrecognized activity on card C06800-K1. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $150.07 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a iOS Device on mobile safari 11.0. Card blocked and reissued. Customer reimbursed.""}"
CC-0019,C06208,C06208-K1,2016-07-03 21:52:10,2016-07-05 01:52:10,confirmed_fraud,card_not_present_new_device,225.09,CREATE_CASE|BLOCK_CARD,false,"Case CC-0019: cardholder C06208 reported unrecognized activity on card C06208-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $225.09 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a rv:52.0 on firefox. Card blocked and reissued. Customer reimbursed.","{""case_id"":""CC-0019"",""customer_id"":""C06208"",""card_id"":""C06208-K1"",""opened_at"":""2016-07-03 21:52:10"",""closed_at"":""2016-07-05 01:52:10"",""outcome"":""confirmed_fraud"",""pattern"":""card_not_present_new_device"",""first_fraud_txn_id"":""3002476"",""txn_ids"":""3002476"",""n_txns"":""1"",""exposure_usd"":""225.09"",""connected_card_ids"":"""",""actions_taken"":""CREATE_CASE|BLOCK_CARD"",""report_filed"":""No"",""analyst_notes"":""Case CC-0019: cardholder C06208 reported unrecognized activity on card C06208-K1. 1 transaction(s) between 2016-07-03 and 2016-07-03 totaling $225.09 were confirmed fraudulent. Online purchases from a device not previously seen on this account, inconsistent with the cardholder's history. Online transactions came from a rv:52.0 on firefox. Card blocked and reissued. Customer reimbursed.""}"
CC-0020,C11082,C11082-K1,2016-07-03 21:54:56,2016-07-09 16:54:56,confirmed_fraud,account_takeover,433.91,CREATE_CASE|BLOCK_CARD,false,Case CC-0020: cardholder C11082 reported unrecognized activity on card C11082-K1. 4 transaction(s) between 2016-07-02 and 2016-07-03 totaling $433.91 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.,"{""case_id"":""CC-0020"",""customer_id"":""C11082"",""card_id"":""C11082-K1"",""opened_at"":""2016-07-03 21:54:56"",""closed_at"":""2016-07-09 16:54:56"",""outcome"":""confirmed_fraud"",""pattern"":""account_takeover"",""first_fraud_txn_id"":""3000808"",""txn_ids"":""3000808|3000825|3003871|3003906"",""n_txns"":""4"",""exposure_usd"":""433.91"",""connected_card_ids"":"""",""actions_taken"":""CREATE_CASE|BLOCK_CARD"",""report_filed"":""No"",""analyst_notes"":""Case CC-0020: cardholder C11082 reported unrecognized activity on card C11082-K1. 4 transaction(s) between 2016-07-02 and 2016-07-03 totaling $433.91 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.""}"
CC-0021,C04265,C04265-K1,2016-07-03 22:08:36,2016-07-05 16:08:36,cleared,,0.00,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,false,Case CC-0021: model scored a $50.09 transaction at 0.86. Cardholder confirmed travel to the billing region in question. Alert cleared.,"{""case_id"":""CC-0021"",""customer_id"":""C04265"",""card_id"":""C04265-K1"",""opened_at"":""2016-07-03 22:08:36"",""closed_at"":""2016-07-05 16:08:36"",""outcome"":""cleared"",""pattern"":""none"",""first_fraud_txn_id"":"""",""txn_ids"":""3003708"",""n_txns"":""1"",""exposure_usd"":""0.00"",""connected_card_ids"":"""",""actions_taken"":""VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD"",""report_filed"":""No"",""analyst_notes"":""Case CC-0021: model scored a $50.09 transaction at 0.86. Cardholder confirmed travel to the billing region in question. Alert cleared.""}"
CC-0022,C07847,C07847-K2,2016-07-03 22:54:31,2016-07-04 20:54:31,confirmed_fraud,card_not_present_fraud,100.04,CREATE_CASE|BLOCK_CARD,false,Case CC-0022: cardholder C07847 reported unrecognized activity on card C07847-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $100.04 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on firefox 57.0. Card blocked and reissued. Customer reimbursed.,"{""case_id"":""CC-0022"",""customer_id"":""C07847"",""card_id"":""C07847-K2"",""opened_at"":""2016-07-03 22:54:31"",""closed_at"":""2016-07-04 20:54:31"",""outcome"":""confirmed_fraud"",""pattern"":""card_not_present_fraud"",""first_fraud_txn_id"":""3001611"",""txn_ids"":""3001611"",""n_txns"":""1"",""exposure_usd"":""100.04"",""connected_card_ids"":"""",""actions_taken"":""CREATE_CASE|BLOCK_CARD"",""report_filed"":""No"",""analyst_notes"":""Case CC-0022: cardholder C07847 reported unrecognized activity on card C07847-K2. 1 transaction(s) between 2016-07-02 and 2016-07-02 totaling $100.04 were confirmed fraudulent. Online purchases inconsistent with the cardholder's usual merchants and amounts. Online transactions came from a Windows on firefox 57.0. Card blocked and reissued. Customer reimbursed.""}"
CC-0023,C11309,C11309-K1,2016-07-03 23:05:27,2016-07-05 18:05:27,cleared,,0.00,VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD,false,Case CC-0023: model scored a $24.91 transaction at 0.94. Cardholder confirmed travel to the billing region in question. Alert cleared.,"{""case_id"":""CC-0023"",""customer_id"":""C11309"",""card_id"":""C11309-K1"",""opened_at"":""2016-07-03 23:05:27"",""closed_at"":""2016-07-05 18:05:27"",""outcome"":""cleared"",""pattern"":""none"",""first_fraud_txn_id"":"""",""txn_ids"":""3004228"",""n_txns"":""1"",""exposure_usd"":""0.00"",""connected_card_ids"":"""",""actions_taken"":""VERIFY_WITH_CUSTOMER|CLOSE_NO_FRAUD"",""report_filed"":""No"",""analyst_notes"":""Case CC-0023: model scored a $24.91 transaction at 0.94. Cardholder confirmed travel to the billing region in question. Alert cleared.""}"
CC-0024,C06059,C06059-K2,2016-07-03 23:13:51,2016-07-08 15:13:51,confirmed_fraud,account_takeover,1894.06,CREATE_CASE|BLOCK_CARD|FILE_REPORT,true,"Case CC-0024: cardholder C06059 reported unrecognized activity on card C06059-K2. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $1,894.06 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.","{""case_id"":""CC-0024"",""customer_id"":""C06059"",""card_id"":""C06059-K2"",""opened_at"":""2016-07-03 23:13:51"",""closed_at"":""2016-07-08 15:13:51"",""outcome"":""confirmed_fraud"",""pattern"":""account_takeover"",""first_fraud_txn_id"":""3003459"",""txn_ids"":""3003459|3003503"",""n_txns"":""2"",""exposure_usd"":""1894.06"",""connected_card_ids"":"""",""actions_taken"":""CREATE_CASE|BLOCK_CARD|FILE_REPORT"",""report_filed"":""Yes"",""analyst_notes"":""Case CC-0024: cardholder C06059 reported unrecognized activity on card C06059-K2. 2 transaction(s) between 2016-07-03 and 2016-07-03 totaling $1,894.06 were confirmed fraudulent. Mixed-channel activity inconsistent with the cardholder; credentials and card data both used. Card blocked and reissued. Customer reimbursed.""}"
